Old,Corrected
DEU_NW_MUN,DEA3
DEU_BAV_LOWFRANC,DE26
DEU_NW_DETMOLD,DEA4
ITAOS,ITC2
TBINGEN---GER,DE14
ITUMB,ITI2
DEU_BAV_UPPERFRANC,DE24
LORRA,FRF3
ITCAT,ITG17
SIENA,ITI19
DEU_SN_CHEMN,DED4
DEU_THURINGIA,DEG
AUT_WEST_VORARLBERG,AT34
POLTA,UA11
ITI,ITAC
DEU_BAV_LOWBAY,DE22
KHERS,UA43
FOGGI,ITF46
BARII,ITF47
ITLOM,ITC4
DEU_BAV_MIDFRANC,DE25
ROU_SWO_W,RO42
BURGU,FRC1
FRF,GRAND_EST
SI038,SI044
CANARY,ES7
GENOA,ITC33
ITLIG,ITC3
STUTT,DE11
ITEMR,ITH5
DEU_BAV_UPPERPALATI,DE23
NPC,NORDP
ZAKAR,UA71
KARLSRUHE---GER,DE12
CENTRVAL,FRB
PROVE,FRL0
CORSI,FRM0
NAPLE,ITF33
AQUIT,FRI1
ITTUS,ITI1
PAYSD,FRG0
ITAPU,ITF4
LNEBURG-GER,DE93
KIROO,UA33
PORT_HAMBURG,DE6
GLP,FRY1
ITPIE,ITC1
POITO,FRI3
UPPER,FRD2
FRANC,FRC2
MTQ,FRY2
ITCAL,ITF6
ITLAZ,ITI4
HUN_CENT,HU1
ALSAC,FRF1
OCCITANIE,FRJ
ITABR,ITF1
LANGU,FRJ1
DEU_BADEW_FREIB,DE13
LEIPZIGDISTRICT---GER,DED5
SWE_E,SE1
ITMOL,ITF2
AUT_WEST_SALZ,AT32
MIDIP,FRJ2
ASTII,ITC17
MILAN,ITC4C
SUMYO,UA12
BRITT,FRH0
KHARK,UA13
PALRMO,ITG12
CHAMP,FRF2
ODESAO,UA42
RAVEN,ITH57
ITSAR,ITG2
HUN_BUD_PEST,HU12
ALESS,ITC18
HANOV,DE92
BOLOG,ITH55
SEVAS,UA45
STOCK,SE11
DEE,SAXOY
MYKOL,UA41
GUF,FRY3
LIVOR,ITI16
PICAR,FRE2
LIMOU,FRI2
AUVER,FRK1
RIGA,RIGAL
ITMAR,ITI3
BRUSC,BE1
LOWER,FRD1
ITSIC,ITG1
ITFOR,ITH58
REU,FRY4
WRZBURG---GER,WURZB
ITCAM,ITF3
ILEDE,FR1
RHNEA,FRK2
ITVEN,ITH3
ITFRI,ITH4
COLOG,DEA2
ITBAS,ITF5
FLERE,BE2
DRESD,DED2
DNIPR,UA31
DONET,UA21
SAN_MARINO,SMR
OMAN,OMN
